,name,address,city,state,zipcode,phone,website,
53,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085,(408) 738-8515,http://www.stjohnsgrill.com,
54,Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061,(650) 321-4080,http://www.chantillyrestaurant.com/,
55,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,CA,94086,(408) 245-9000,http://www.roundtablepizza.com/order?id=32,
56,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,CA,94087,(408) 732-6670,http://www.roundtablepizza.com/order?id=723,
57,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 733-1365,http://www.roundtablepizza.com/order?id=718,
58,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,CA,94087,(408) 245-5905,http://www.roundtablepizza.com/order?id=4,
59,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 970-9000,http://www.roundtablepizza.com/order?id=608,
60,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,CA,94043,(650) 961-0361,http://www.roundtablepizza.com/order?id=12,
61,Round Table Pizza,399 1st St,Los Altos ,CA,94022,(650) 941-0237,http://www.roundtablepizza.com/order?id=2,
62,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,CA,94538,(510) 323-2765,http://worldgourmetbuffet.rtrk.com/?scid=3327668,
63,Cascal,400 Castro St,Mountain View ,CA,94041,(650) 265-1884,http://cascalrestaurant.com,
64,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086,(408) 736-3731,http://taotaocafe.com,
65,Dinner at Buca di Beppo,,,,,,,
66,Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,CA,94085,(408) 481-0700,http://grandindianbuffet.com,
67,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,CA,94085,(408) 732-3910,http://thearmeniangourmet.com,
68,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 733-1365,http://www.roundtablepizza.com/order?id=718,
69,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 970-9000,http://www.roundtablepizza.com/order?id=608,
70,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,CA,94085,(408) 738-8761,http://tastysubspizzasunnyvale.com,
71,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,CA,94085,(408) 735-8280,http://www.setorestaurant.com,
72,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,CA,94085,(408) 737-7183,http://www.sushiblvd.com,
73,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,CA,94085,(408) 245-1342,http://www.shanghairestaurantonline.com,
74,Pho Lovers,253 E Maude Ave,Sunnyvale ,CA,94085,(408) 530-8583,,
75,Old Country Buffet,456 W Maude Ave,Sunnyvale ,CA,94085,(408) 720-9394,http://www.oldcountrybuffet.com,
76,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 738-0408,,
77,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,CA,94085,(408) 530-8156,,
78,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 245-2276,,
79,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,CA,94085,(408) 735-1721,http://claritasfilipinocuisine.com,
80,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,CA,94085,(408) 245-1000,http://madhubanindiancuisine.net,
81,Panera Bread,1195 E Arques Ave,Sunnyvale ,CA,94085,(408) 736-7984,https://www.panerabread.com/en-us/home.html?utm_source=yext&utm_medium=referral&utm_campaign=yext,
82,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,CA,94085,(408) 733-2626,http://www.padthaisunnyvale.com,
83,Luv Pho,500 Lawrence Expy,Sunnyvale ,CA,94085,(408) 733-8883,,
84,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,CA,94085,(408) 746-9192,http://www.chaatsandcurrys.com,
85,Coco's,1206 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 736-2895,http://www.cocosbakery.com,
86,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 739-5271,http://www.kalsbbq.com,
87,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,CA,94085,(408) 730-8578,http://www.tiajuanamexicangrill.com,
88,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,CA,94085,(408) 735-1111,http://www.anandabhavanusa.com,
89,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,CA,94085,(408) 617-0482,http://www.swathitiffins.com,
90,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,CA,94085,(408) 720-1077,,
91,Hobee's,800 W Ahwanee Ave,Sunnyvale ,CA,94085,(408) 524-3580,http://www.hobees.com,
92,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,CA,94085,(408) 245-8988,http://www.meritvegetarian.com,
93,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,CA,94085,(408) 735-7448,http://www.madhubanindiancuisine.net,
94,Denny's,814 W Ahwanee Ave,Sunnyvale ,CA,94085,(408) 747-1449,http://locations.dennys.com/CA/SUNNYVALE/247218?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing,
95,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,CA,94085,(408) 737-7183,http://www.sushiblvd.com,
98,Ray's Crab Shack,5989 Mowry Ave,Newark ,CA,94560,(510) 648-3069,http://www.rayscrabshack.com/,
99,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050,(408) 766-7527,http://fiorillosrestaurantinc.liveonatt.com,
100,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,CA,94133,(415) 673-7025,http://www.fishermensgrotto.com,
101,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051,(408) 241-1677,http://www.sushiosushi.com,
102,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,CA,95035,(408) 212-7094,http://www.giorgiosandfjlitalian.com,
103,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,CA,95118,(408) 474-0566,http://www.giorgiosandfjlitalian.com,
104,House Of Genji,1335 N 1st St,San Jose ,CA,95112,(408) 883-1427,http://www.houseofgenji.net,
105,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087,(408) 329-4145,http://www.aachiaappakadai.com,
106,Iron Works Barbeque,,,,,(512) 478-4856,http://www.ironworksbbq.com/,
107,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,CA,94040,(650) 567-5114,http://www.fjlmountainview.com,
108,Round Table Pizza,,,,,,http://www.roundtablepizza.com,
109,Olive Garden Italian Restaurant,,,,,,http://www.olivegarden.com,
110,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,CA,94303,(650) 600-3454,http://www.baycaferestaurant.com,
111,Cha Cha Cha,1801 Haight St,San Francisco ,CA,94117,(415) 386-7670,http://www.cha3.com,
112,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,CA,94040,(650) 567-4227,http://www.maldonadospizza.com,
113,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301,(650) 328-6885,http://www.jingjinggourmet.com,
114,Kazoo Restaurant,250 Jackson St,San Jose ,CA,95112,(408) 288-9611,http://www.kazoorestaurant.com,
115,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085,(408) 738-8515,http://www.stjohnsgrill.com,
116,Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061,(650) 321-4080,http://www.chantillyrestaurant.com/,
117,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,CA,94086,(408) 245-9000,http://www.roundtablepizza.com/order?id=32,
118,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,CA,94087,(408) 732-6670,http://www.roundtablepizza.com/order?id=723,
119,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 733-1365,http://www.roundtablepizza.com/order?id=718,
120,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,CA,94087,(408) 245-5905,http://www.roundtablepizza.com/order?id=4,
121,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 970-9000,http://www.roundtablepizza.com/order?id=608,
122,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,CA,94043,(650) 961-0361,http://www.roundtablepizza.com/order?id=12,
123,Round Table Pizza,399 1st St,Los Altos ,CA,94022,(650) 941-0237,http://www.roundtablepizza.com/order?id=2,
124,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,CA,94538,(510) 323-2765,http://worldgourmetbuffet.rtrk.com/?scid=3327668,
125,Cascal,400 Castro St,Mountain View ,CA,94041,(650) 265-1884,http://cascalrestaurant.com,
126,Pho Vy Vietnamese Restaurant,913 E Duane Ave,Sunnyvale ,CA,94085,(408) 739-8844,,
127,Sushi Club,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 738-0408,http://www.sushiclubsunnyvale.com,
128,Barn Thai Restaurant,921 E Duane Ave,Sunnyvale ,CA,94085,(408) 732-3319,http://www.barnthai.com,
129,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085,(408) 738-8515,http://www.stjohnsgrill.com,
130,Bibimbowl,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 481-9383,http://thebibimbowl.com,
131,Falafel Bite,500 Lawrence Expy,Sunnyvale ,CA,94085,(408) 736-2411,http://www.falafelbite.com,
132,asian spice,440N wolfe road,sunnyvale ,CA,94085,(650) 739-5799,,
133,Little India Cafe,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 245-6200,,
134,Sunnyvale Cafe,223 E Maude Ave,Sunnyvale ,CA,94085,(408) 530-8191,http://www.sunnyvalecafe.com,
135,Bagel Street Cafe,346 W Maude Ave,Sunnyvale ,CA,94085,(408) 738-1856,http://bagelstreetcafe.net,
136,Myzen Ramen,"520 Lawrence Expressway, Suite 304",Sunnyvale ,CA,94085,(408) 245-7779,http://www.myzenrestaurant.com,
137,Ruby's Taqueria,821 Borregas Ave,Sunnyvale ,CA,94085,(408) 744-0622,http://ruby-s-taqueria.advertory.com,
138,Happy Cafe,542 Lakeside Dr # 3,Sunnyvale ,CA,94085,(408) 738-8297,http://myhappycafe.net,
139,Kori Bbq And wings,311 N Fair Oaks Ave,Sunnyvale ,CA,94085,(408) 542-9018,,
140,Peet's Coffee & Tea,484 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 737-1834,http://www.peets.com,
141,Gombei Bento,155 E Maude Ave,Sunnyvale ,CA,94085,(408) 735-7777,http://www.gombei.com/home,
142,Marty's Donuts,350 W Maude Ave,Sunnyvale ,CA,94085,(408) 735-0690,,
143,Off The Stick,927 E Arques Ave,Sunnyvale ,CA,94085,(408) 746-9746,,
144,Mediterranean Cuisine,911 E Duane Ave,Sunnyvale ,CA,94085,(408) 685-2269,http://obedcuisine.com,
145,Pizza Depot,919 E Duane Ave,Sunnyvale ,CA,94085,(408) 245-7760,http://pizza-depot.com,
146,Speedys Tacos,929 E Duane Ave,Sunnyvale ,CA,94085,(408) 685-2791,,
147,High Tech Burrito,1191 E Arques Ave,Sunnyvale ,CA,94085,(408) 737-7337,,
148,Naivedyam Foods Inc.,1202 Apollo Way,Sunnyvale ,CA,94085,(408) 617-0480,,
149,Fresh U Order Bakery & Cafe,500 Lawrence Expy,Sunnyvale ,CA,94085,(408) 739-1888,,
150,Mission City Cafe,510 Lawrence Expy,Sunnyvale ,CA,94085,(408) 737-2373,http://www.missioncitycafetogo.com,
151,Bagel Place Cafe,546 Lawrence Expy Ste 1,Sunnyvale ,CA,94085,(408) 749-1559,http://www.bagelplacecafe.com,
152,Sunrise Restaurant,542 Lakeside Dr # 940,Sunnyvale ,CA,94085,(408) 732-7052,,
153,Beryls Place,1250 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 530-9887,,
154,Sunny Deli,1250 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 530-9887,,
155,Bright Storm,1270 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 542-9314,http://brightstorm.com,
158,Firehouse Grill and Brewery,,Sunnyvale ,CA,94085,(408) 329-4062,,
159,Senor Jalapeno,415 N Mary Ave Ste 117,Sunnyvale ,CA,94085,(408) 738-0100,http://www.senor-jalapeno.com,
160,Elephant Express,302 N Fair Oaks Ave,Sunnyvale ,CA,94085,(408) 774-9090,,
161,Shaw's Sandwiches,470 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 732-1112,,
162,Little Michoacan Taqueria,305 N Fair Oaks Ave,Sunnyvale ,CA,94085,(408) 732-3854,,
163,Taqueria Latina,195 E Maude Ave,Sunnyvale ,CA,94085,(408) 735-7151,http://taqueria-latina.advertory.com,
164,Vista At Sunnyvale,605 Macara Ave,Sunnyvale ,CA,94085,(408) 542-9318,http://www.vistaatsunnyvale.com,
165,Tres Potrillos Taqueria,670 N Fair Oaks Ave,Sunnyvale ,CA,94085,(408) 735-8657,http://tres-potrillos-taqueria.advertory.com,
166,Daily Donuts & Sandwiches,708 N Fair Oaks Ave,Sunnyvale ,CA,94085,(408) 737-8697,http://www.dailydonuts.net,
167,Better Bento,550 Lakeside Dr # 1,Sunnyvale ,CA,94085,(408) 720-8889,,
168,Badal Indian Cuisine,,Sunnyvale ,CA,94085,(408) 245-7600,,
169,Dish N Dash,736 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 530-9200,http://www.dishndashrestaurant.com,
170,iChaat Cafe,1208 E Arques Ave,Sunnyvale ,CA,94085,(408) 245-4242,http://www.ichaatcafe.com,
171,Antojitos Salvadorenos Restaurant,911 E Duane Ave Ste A,Sunnyvale ,CA,94085,(408) 720-1463,,
172,Subway,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 720-1774,http://www.subway.com,
173,Wendy's,485 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 739-2653,http://www.wendys.com,
174,Subway,927 E Arques Ave Unit A,Sunnyvale ,CA,94085,(408) 732-3436,http://www.subway.com,
175,Burger King,773 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 736-0101,http://www.burgerking.com/,
176,Subway,500 Lawrence Expy Suite G,Sunnyvale ,CA,94085,(408) 732-1952,http://www.subway.com,
177,Togo's Eatery,540 Lawrence Expy,Sunnyvale ,CA,94085,(408) 735-1102,http://www.togos.com,
178,McDonald's,550 Lawrence Expy,Sunnyvale ,CA,94085,(408) 733-2730,http://www.mcdonalds.com,
179,KFC,340 W Maude Ave,Sunnyvale ,CA,94085,(408) 730-0511,http://www.kfc.com/,
180,Domino's Pizza,615 Caliente Dr,Sunnyvale ,CA,94085,(408) 732-3030,http://www.dominos.com,
181,McDonald's,615 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 733-5319,http://www.mcdonalds.com,
182,Agape Grill,845 Stewart Dr Ste A,Sunnyvale ,CA,94085,(408) 739-3354,http://www.agapegrill.com,
183,Faultline Brewing Company,1235 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 736-2739,http://www.faultlinebrewing.com,
184,Quarter Note,1214 Apollo Way Ste 403,Sunnyvale ,CA,94085,(408) 732-2110,,
185,TL BEER GARDEN (Taverna Lounge),769 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 900-8252,http://www.tavernalounge.net,
186,La Boulanger Inc,305 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 774-9000,http://www.leboulanger.com,
187,Jamba Juice,415 N Mary Ave Ste 109,Sunnyvale ,CA,94085,(408) 737-8377,http://www.jambajuice.com,
190,T L Beer Garden,769 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 900-8252,,
191,Daddy Dough Bake Shop,907 E Duane Ave,Sunnyvale ,CA,94085,(408) 720-0270,,
192,Danielle's Cafe and Bake Shop,907 E Duane Ave,Sunnyvale ,CA,94085,(408) 962-0606,,
193,Una Mas,548 Lawrence Expy,Sunnyvale ,CA,94085,(408) 720-8226,http://www.unamas.com,
194,Sichuan Gourmet,542 Lakeside Dr,Sunnyvale ,CA,94085,(408) 738-8297,,
195,Rene Rose Island Cuisine,621 Caliente Dr,Sunnyvale ,CA,94085,(408) 733-3691,http://filipinorestaurantsunnyvale.com,
196,408 Peacock,933 E Duane Ave,Sunnyvale ,CA,94085,(408) 732-2625,http://peacockrestaurants.com,
197,Pezzella's Villa Napoli,1025 W El Camino Real,Sunnyvale ,CA,94087,(408) 738-2400,http://www.pezzellas.com,
198,Tarragon Restaurant,140 S Murphy Ave,Sunnyvale ,CA,94086,(408) 737-8003,http://www.dinetarragon.com,
199,Bay Leaf Restaurant,122 S Sunnyvale Ave,Sunnyvale ,CA,94086,(408) 481-9983,http://www.bayleaf-restaurant.com,
200,Chocolate Sushi & Tofu House,595 E El Camino Real,Sunnyvale ,CA,94087,(408) 830-0638,http://chocosushi.com,
201,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086,(408) 736-3731,http://taotaocafe.com,
202,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087,(408) 329-4145,http://www.aachiaappakadai.com,
203,Il Postale,127 W Washington Ave,Sunnyvale ,CA,94086,(408) 733-9600,http://ilpostale.com,
204,The Old Siam,1111 W El Camino Real Ste 137,Sunnyvale ,CA,94087,(408) 530-8552,http://www.theoldsiam.net,
205,Gumba's Italian Restaurant,176 S Murphy Ave,Sunnyvale ,CA,94086,(408) 737-8384,http://gumbassunnyvaleca.com,
206,Turmeric Restaurant,141 S Murphy Ave,Sunnyvale ,CA,94086,(408) 617-9100,http://www.turmericrestaurant.com,
207,P.F. Chang's,390 W El Camino Real,Sunnyvale ,CA,94087,(408) 991-9078,http://www.pfchangs.com,
208,Katana Sushi & Sake,411 E El Camino Real,Sunnyvale ,CA,94087,(408) 746-3000,http://katanasushi.com,
209,Thai Basil,101 S Murphy Ave,Sunnyvale ,CA,94086,(408) 773-1098,http://www.thaibasil.com,
210,The Cheese Steak Shop,832 W El Camino Real,Sunnyvale ,CA,94087,(408) 530-8159,http://www.cheesesteakshop.com/sunnyvale/index.html,
211,Pasta Pomodoro,300 W El Camino Real,Sunnyvale ,CA,94087,(408) 789-0037,http://www.pastapomodoro.com,
212,Arka Indian Restaurant,725 S Fair Oaks Ave,Sunnyvale ,CA,94086,(408) 733-2752,http://www.arkarestaurant.com,
213,Inchin's Bamboo Garden,151 W Washington Ave,Sunnyvale ,CA,94086,(408) 481-9350,http://www.bamboo-gardens.com,
214,King Wah Chinese Restaurant,219 E Washington Ave,Sunnyvale ,CA,94086,(408) 245-2647,http://kingwahchinesefood.com,
215,Armadillo Willy's,161 E El Camino Real,Sunnyvale ,CA,94087,(408) 245-5300,http://www.armadillowillys.com,
216,Thai Spoons,909 W El Camino Real,Sunnyvale ,CA,94087,(408) 739-1798,http://www.thaispoonsonline.com,
217,Ramen Seas,173 S Murphy Ave,Sunnyvale ,CA,94086,(408) 481-0900,http://www.ramenseas.com,
218,Smashburger,328 W El Camino Real,Sunnyvale ,CA,94087,(408) 215-1730,http://smashburger.com,
219,Boudin Bakery,701 Sunnyvale Saratoga Rd,Sunnyvale ,CA,94087,(408) 419-0777,http://boudinbakery.com,
222,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086,(408) 736-3731,http://taotaocafe.com,
223,Kirk's Steakburgers,2388 S Bascom Ave,Campbell ,CA,95008,(408) 371-3565,http://www.kirks-steakburgers.com/,
224,Dinner at Buca di Beppo,,,,,,,
225,Sara's Kitchen,1595 Franklin St,Santa Clara ,CA,95050,(408) 247-7272,http://www.saraskitchen.biz,
226,Korea House,2340 El Camino Real,Santa Clara ,CA,95050,(408) 249-0808,http://korea-house.advertory.com,
227,Neto's Market And Grill,1313 Franklin St,Santa Clara ,CA,95050,(408) 296-0818,http://netosmarketandgrill.com,
228,Ninety-Nine Restaurant and Pub,2325 El Camino Real Ste 101,Santa Clara ,CA,95050,(408) 241-9658,http://www.99restaurants.com,
229,House Of Soul Food,1290 Coleman Ave,Santa Clara ,CA,95050,(408) 227-7685,http://www.houseofsoulfood.net,
230,King Chopstick,2374 El Camino Real,Santa Clara ,CA,95050,(408) 243-1868,http://www.kingchopstick.com,
231,Golden Mushroom Pizzeria,202 Saratoga Ave,Santa Clara ,CA,95050,(408) 247-9671,http://www.goldenmushroompizzeria.com,
232,House of Egg Roll,1686 Lafayette St,Santa Clara ,CA,95050,(408) 246-6849,,
233,Mio Vicino,1290 Benton St,Santa Clara ,CA,95050,(408) 241-9414,http://miovicino-santaclara.com,
234,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050,(408) 766-7527,http://fiorillosrestaurantinc.liveonatt.com,
235,Round Table Pizza,2615 The Alameda,Santa Clara ,CA,95050,(408) 248-9123,http://www.roundtablepizza.com/order?id=27,
236,Thai Pepper,1045 Monroe St,Santa Clara ,CA,95050,(408) 984-1931,http://www.thaipeppercuisine.net,
237,Mayuri Indian Cuisine,2230 El Camino Real,Santa Clara ,CA,95050,(408) 248-9747,http://www.mayuricuisine.com,
238,Andy's BBQ,2367 El Camino Real,Santa Clara ,CA,95050,(408) 249-8158,http://www.andysbbq.com,
239,Fiorillos Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050,(408) 984-0414,http://fiorillos.com,
240,Dusita Thai Cuisine,2325 El Camino Real Ste 104,Santa Clara ,CA,95050,(408) 247-5199,http://www.dusitathaicuisine.com,
